,number_of_reviews,user_ratings,Star_Rating,Family_rooms,Non_Smoking_Rooms,bar,Heating,Lifts,Single_Bed,price,Breakfast Cuisine1,review_score_numeric,Birmingham,Dubai,Kuala Lumpur,London,Manchester,Melbourne,New Delhi,Paris,Sydney,Tokyo,Toronto
1078,8.444622498581403,7.8,3,1,1,1,1,1,1,9.226705726062447,1,6,0,0,0,0,0,0,0,0,0,0,0
1079,6.963189985870238,5.6,3,1,1,0,1,1,1,8.851377097519439,0,4,0,0,0,0,0,0,0,0,0,0,0
1080,8.506940814951886,8.3,4,1,1,1,1,1,1,9.387146748082028,1,7,0,0,0,0,0,0,0,0,0,0,0
1081,8.286773231131251,8.1,3,0,1,1,1,1,1,9.173157580848466,1,7,0,0,0,0,0,0,0,0,0,0,0
1082,7.049254841255837,8.2,3,0,1,0,1,1,0,9.349319399257634,0,7,0,0,0,0,0,0,0,0,0,0,0
1083,7.563719668414366,7.1,3,1,1,0,1,1,1,9.349319399257634,0,6,0,0,0,0,0,0,0,0,0,0,0
1084,7.5310163320779155,8.3,4,1,1,1,1,1,1,9.21253795551967,1,7,0,0,0,0,0,0,0,0,0,0,0
1085,6.429719478039138,8.0,3,1,1,1,1,1,1,9.255887186932153,1,7,0,0,0,0,0,0,0,0,0,0,0
1086,7.490529402060711,7.8,4,1,1,0,1,1,1,8.977146484808472,1,6,0,0,0,0,0,0,0,0,0,0,0
1087,7.382124365737512,7.6,3,1,1,1,1,1,1,8.996528148090857,1,6,0,0,0,0,0,0,0,0,0,0,0
1088,5.976350909297934,7.3,4,0,1,0,1,0,0,9.163982247998034,0,6,0,0,0,0,0,0,0,0,0,0,0
1089,2.9444389791664403,8.9,3,0,1,0,1,1,0,9.163982247998034,0,8,0,0,0,0,0,0,0,0,0,0,0
1090,7.975908360165538,7.2,3,1,1,1,1,1,1,8.947806093057054,1,6,0,0,0,0,0,0,0,0,0,0,0
1091,7.587817219993427,8.1,3,1,1,0,1,1,1,9.235423152343646,0,7,0,0,0,0,0,0,0,0,0,0,0
1092,6.648984550024776,6.9,2,1,1,0,1,0,1,9.65745912868446,0,5,0,0,0,0,0,0,0,0,0,0,0
1093,8.354438940114811,8.0,3,1,1,0,1,1,1,9.04617302576227,1,7,0,0,0,0,0,0,0,0,0,0,0
1094,8.643649615368796,8.3,3,0,1,1,1,1,1,9.380420642347783,1,7,0,0,0,0,0,0,0,0,0,0,0
1095,8.681350777582521,8.3,3,1,1,1,1,1,1,9.243968552956167,1,7,0,0,0,0,0,0,0,0,0,0,0
1096,7.264730177929867,6.1,4,1,1,0,1,1,1,9.035748861244139,0,5,0,0,0,0,0,0,0,0,0,0,0
1097,8.84130362048157,8.0,3,0,1,0,1,1,1,9.15556734612889,1,7,0,0,0,0,0,0,0,0,0,0,0
1098,8.42463920980563,6.4,3,1,1,1,1,1,1,8.621373010325902,1,5,0,0,0,0,0,0,0,0,0,0,0
1099,7.63433723562832,8.5,3,0,1,1,1,1,1,9.27762511878178,1,7,0,0,0,0,0,0,0,0,0,0,0
1100,7.45876269238096,7.5,4,1,1,1,1,1,1,9.074978734045507,1,6,0,0,0,0,0,0,0,0,0,0,0
1101,8.129764445794171,8.3,3,0,1,1,1,1,1,9.380420642347783,1,7,0,0,0,0,0,0,0,0,0,0,0
1102,7.379008127628304,7.4,4,1,1,1,1,0,1,8.83724564389847,1,6,0,0,0,0,0,0,0,0,0,0,0
1103,7.079184394609668,8.0,4,1,1,0,1,1,1,9.507329003748263,1,7,0,0,0,0,0,0,0,0,0,0,0
1104,8.284251797621916,7.3,3,1,1,0,1,0,1,8.900685318713995,1,6,0,0,0,0,0,0,0,0,0,0,0
1105,7.77485576666552,7.4,3,1,1,0,1,1,1,9.106756055719613,1,6,0,0,0,0,0,0,0,0,0,0,0
1106,7.426549072397305,7.3,3,1,1,0,1,1,1,8.981681639973862,0,6,0,0,0,0,0,0,0,0,0,0,0
1107,8.628913441026645,7.8,4,1,1,1,1,1,1,9.06681636189014,1,6,0,0,0,0,0,0,0,0,0,0,0
1108,7.866722285136729,8.5,4,1,1,1,1,1,1,9.116578992161708,1,7,0,0,0,0,0,0,0,0,0,0,0
1109,8.161089512845797,7.5,3,1,1,0,1,1,1,8.862908295118627,1,6,0,0,0,0,0,0,0,0,0,0,0
1110,5.976350909297934,8.8,3,0,1,1,1,1,0,10.357393557477783,1,8,0,0,0,0,0,0,0,0,0,0,0
1111,7.6511201757027,7.9,4,1,1,0,1,1,1,9.003685138166775,1,6,0,0,0,0,0,0,0,0,0,0,0
1112,8.345692873253865,8.1,3,1,1,1,1,1,1,9.41450495669259,1,7,0,0,0,0,0,0,0,0,0,0,0
1113,8.768418726857403,7.0,3,1,1,0,1,1,1,8.924523226133914,1,6,0,0,0,0,0,0,0,0,0,0,0
1114,6.927557906278317,9.1,4,1,1,0,1,1,1,9.947695807200448,0,9,0,0,0,0,0,0,0,0,0,0,0
1115,6.598509028614515,8.4,3,1,1,1,1,1,0,9.213634938925614,0,7,0,0,0,0,0,0,0,0,0,0,0
1116,7.603897968521881,8.3,2,0,1,1,1,1,1,9.09279480812114,1,7,0,0,0,0,0,0,0,0,0,0,0
1117,7.0707241072602764,6.5,3,1,1,1,1,1,1,8.807621489536043,1,5,0,0,0,0,0,0,0,0,0,0,0
1118,8.134467570277563,7.4,3,0,1,1,1,1,1,8.93313654381203,1,6,0,0,0,0,0,0,0,0,0,0,0
1119,7.002155954403621,8.5,3,0,1,1,1,1,0,9.245707515813473,1,7,0,0,0,0,0,0,0,0,0,0,0
1120,6.9650803456014065,8.1,4,0,1,0,1,0,1,9.485772721999046,0,7,0,0,0,0,0,0,0,0,0,0,0
1121,5.749392985908253,5.7,3,1,1,0,1,1,1,9.18049952996516,1,4,0,0,0,0,0,0,0,0,0,0,0
1122,7.559038255443384,6.3,3,1,1,0,1,1,1,9.06681636189014,0,5,0,0,0,0,0,0,0,0,0,0,0
1123,8.270781013162674,8.3,3,1,1,1,1,1,0,9.25253742067597,1,7,0,0,0,0,0,0,0,0,0,0,0
1124,6.656726524178391,7.5,3,0,1,1,1,1,1,9.218705288307811,1,6,0,0,0,0,0,0,0,0,0,0,0
1125,6.84587987526405,7.8,3,0,1,0,1,1,0,9.302098797215724,0,6,0,0,0,0,0,0,0,0,0,0,0
