,city,Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Single_Bed,Double_bed,Room_type,price,Breakfast Cuisine1,Breakfast Cuisine2,Breakfast Cuisine3
31,Tokyo,Hotel JAL City Tokyo Toyosu,yes,"135-0061 Tokyo-to, Koto-ku Toyosu 6-4-20, Japan",3304,8.7,4,Fabulous,no,yes,no,no,yes,yes,single bed,double bed,Moderate Twin Room - Non-Smoking,13047,Buffet,no,no
32,Tokyo,APA Hotel Yamanote Otsuka Eki Tower,yes,"170-0005 Tokyo-to, Toshima-ku Minami Otsuka 3-31-10, Japan",1124,8.3,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Standard Double Room - Non-Smoking,5678,Asian, American,no
33,Tokyo,Hotel Wing International Ikebukuro,no,"170-0013 Tokyo-to, Toshima-ku, Higashiikebukuro 3-10-7, Japan",1532,8.2,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Standard Double Room - Smoking,6699,no,no,no
34,Tokyo,APA Hotel Asakusabashi Ekimae,yes,"111-0053 Tokyo-to, Taito-ku Asakusabashi 1-27-9, Japan",435,8.3,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Standard Double Room for 2 people - Smoking,5125,American,no,no
35,Tokyo,Best Western Hotel Fino Tokyo Akasaka,yes,"107-0052 Tokyo-to, Minato-ku, Akasaka 3-7-12, Japan",2321,8.2,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Standard Double Room,10719,no,no,no
36,Tokyo,HOTEL BAMBOO GARDEN Kinshicho Adult Only,yes,"130-0022 Tokyo-to, Kotobashi 4-14-1, Japan",168,8.7,3,Fabulous,yes,yes,no,no,yes,yes,single bed,double bed,Superior Double Room,12841,American,no,no
37,Tokyo,HOTEL APERTO (Adult Only),yes,"170-0004 Tokyo-to, Toshima-ku Kitaotsuka 1-16-7, Japan",532,8.6,3,Fabulous,no,no,no,no,yes,yes,,double bed,Check-in after 9pm - Standard Double Room,7258,American,no,no
38,Tokyo,ICI HOTEL Ueno Shin Okachimachi,yes,"110-0016 Tokyo-to, Taito-ku Taito 4-23-11, Japan",895,8.4,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Standard Double Room - Non-Smoking,10192,Vegetarian, Vegan, Halal
39,Tokyo,Chisun Inn Kamata,yes,"144-0052 Tokyo-to, Ota-ku Kamata 4-23-13 , Japan",1437,7.1,3,Good,no,yes,no,no,yes,yes,single bed,double bed,Standard Double Room - Non-Smoking,4243,no,no,no
40,Tokyo,FL Hotel Asakusa,yes,"111-0036 Tokyo-to, 台東区松が谷２丁目３０番１号 ＦＬホテル浅草, Japan",136,8.0,2,Very good,no,yes,no,no,yes,yes,single bed,double bed,Double Room,7462,no,no,no
41,Tokyo,APA Hotel & Resort Ryogoku Eki Tower,yes,"130-0015 Tokyo-to, Sumida-ku Yokoami 1-11-10, Japan",4632,8.3,3,Very good,no,yes,yes,no,yes,yes,single bed,double bed,Double Room-Non-Smoking,6331,no,no,no
42,Tokyo,The Prince Park Tower Tokyo,yes,"105-8563 Tokyo-to, Minato-ku, Shiba Koen 4-8-1 , Japan",1531,8.9,5,Fabulous,no,yes,yes,yes,yes,yes,single bed,double bed,Standard Twin Room - Non-Smoking,33184,American,no,no
43,Tokyo,Villa Fontaine Grand Haneda Airport,yes,"144-0041 Tokyo-to, Ota-ku Haneda Airport 2-7-1, Japan",3506,8.3,4,Very good,yes,yes,no,yes,yes,yes,single bed,double bed,Superior Queen Room - Non-Smoking,13978,Vegetarian, Asian, American
44,Tokyo,Hotel JAL City Haneda Tokyo West Wing,yes,"144-0042 Tokyo-to, Asahi-cho 4-16, Haneda , Japan",1844,8.4,4,Very good,no,yes,no,no,yes,yes,single bed,double bed,Economy Double Room,11456,Buffet,no,no
45,Tokyo,Shinjuku Granbell Hotel,yes,"160-0021 Tokyo-to, Shinjuku-ku Kabukicho 2-14-5, Japan",2497,7.9,4,Good,no,yes,no,yes,yes,yes,single bed,double bed,Economy Double Room - Non-Smoking,14622,no,no,no
