sno,Hotel_Name,wifi_box,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast Cuisine1,Breakfast Cuisine2,Breakfast Cuisine3
92,Theater Zzz,yes,no,yes,no,no,yes,no,no,no,no
93,Henn na Hotel Tokyo Asakusabashi,yes,no,yes,no,no,yes,yes,Halal, Asian,no
94,APA Hotel Nihombashi Bakuroyokoyama Ekimae,yes,no,yes,no,no,yes,yes,Breakfast to go,no,no
95,Tosei Hotel Cocone Tsukiji Ginza Premier,no,no,yes,no,yes,no,yes,no,no,no
96,Hotel Cerezo,yes,yes,yes,no,no,yes,yes,no,no,no
97,APA Hotel Akihabara Ekikita,yes,no,yes,no,no,yes,yes,no,no,no
98,remm Akihabara,yes,no,yes,no,no,yes,yes,Asian, American,no
99,The Kanzashi Tokyo Asakusa,yes,no,yes,no,no,no,yes,American,no,no
100,APA Hotel TKP Tokyo Nishi-Kasai,yes,no,yes,no,no,yes,yes,no,no,no
101,HOTEL MYSTAYS Kiyosumi Shirakawa,yes,no,no,no,no,yes,yes,no,no,no
102,Shinagawa Prince Hotel N Tower,yes,no,yes,yes,yes,yes,yes,Continental,no,no
103,Vessel Inn Asakusa Tsukuba Express,yes,yes,yes,no,no,yes,yes,Buffet,no,no
104,Hilton Tokyo Odaiba,no,no,yes,no,yes,yes,yes,no,no,no
105,Artsy Inn 東上野,yes,no,yes,no,no,no,no,no,no,no
106,Grand Prince Hotel Shin Takanawa,no,no,yes,yes,yes,yes,yes,no,no,no
107,KOKO HOTEL Tsukiji Ginza,yes,yes,yes,no,no,yes,yes,no,no,no
108,APA Hotel Ueno Ekikita,yes,no,yes,no,no,yes,yes,no,no,no
109,APA Hotel Omori Ekimae,yes,no,yes,no,no,yes,yes,no,no,no
110,APA Hotel Kanda Jimbocho Ekihigashi,yes,no,yes,no,no,yes,yes,no,no,no
111,K's House Tokyo Oasis - Asakusa Downtown,yes,yes,no,no,no,yes,yes,no,no,no
112,APA Hotel Nihombashi Hamacho-eki Minami,no,no,yes,no,no,yes,yes,Continental, Asian,no
113,APA Hotel Ginza Shintomicho Ekimae Kita - Former APA Hotel Shintomicho Ekikita,yes,no,yes,no,no,yes,yes,Buffet,no,no
114,Ginza Capital Hotel Akane,yes,no,yes,yes,no,yes,yes,Full English/Irish, Asian,no
115,HOTEL VARKIN Ikebukuro Nishiguchi,yes,no,yes,no,no,yes,no,no,no,no
116,APA Hotel Asakusa Kuramae,yes,no,yes,no,no,yes,yes,American,no,no
117,HOTEL TAVINOS HAMAMATSUCHO,yes,no,yes,no,no,yes,yes,no,no,no
118,APA Hotel Higashi-Nihombashi-Ekimae,yes,no,yes,no,no,yes,yes,American,no,no
119,APA Hotel Mita-Ekimae,yes,no,yes,no,no,yes,yes,Breakfast to go,no,no
120,Sotetsu Fresa Inn Tokyo-Kyobashi,yes,no,yes,no,yes,yes,yes,no,no,no
121,HOTEL TABARD TOKYO,yes,no,yes,no,yes,yes,yes,no,no,no
122,&AND HOSTEL AKIHABARA,yes,no,yes,no,no,yes,yes,no,no,no
123,APA Hotel Roppongi SIX,yes,no,yes,no,no,yes,yes,Asian, American,no
124,Hotel Mystays Premier Akasaka,yes,no,yes,no,no,yes,yes,Buffet,no,no
125,DDD HOTEL,yes,yes,yes,yes,yes,yes,yes,Continental,no,no
126,APA Hotel Sugamo Ekimae,yes,yes,yes,no,no,yes,yes,no,no,no
127,KOKO HOTEL Residence Asakusa Kappabashi,yes,yes,yes,no,no,no,yes,no,no,no
128,KOKO HOTEL Residence Asakusa Tawaramachi,yes,yes,yes,no,no,yes,yes,no,no,no
