sno,Hotel_Name,city,location,number_of_reviews,user_ratings,Star_Rating,review_score
71,APA Hotel Asakusa Kuramae Ekimae,Tokyo,"111-0051 Tokyo-to, Taito-ku Kuramae 2-4-4, Japan",468,8.3,3,Very good
72,Tokyo Prince Hotel,Tokyo,"105-8560 Tokyo-to, Minato-ku, Shibakoen 3-3-1, Japan",919,8.3,4,Very good
73,【駅から徒歩1分】徒歩で新大久保駅2分・大久保駅1分圏内/新宿まで電車で5分,Tokyo,"169-0073 Tokyo-to, 百人町１丁目１６−２２−２０２, Japan",1,9.0,3,Superb
74,APA Hotel Ueno Hirokoji,Tokyo,"101-0021 Tokyo-to, Chiyoda-ku Sotokanda 5-3-3, Japan",745,8.2,3,Very good
75,APA Hotel Pride Kokkaigijidomae - National Diet Bldg.,Tokyo,"100-0014 Tokyo-to, Chiyoda-ku Nagata-cho 2-10-2, Japan",1349,8.4,3,Very good
76,APA Hotel Asakusa Kuramae Kita,Tokyo,"111-0043 Tokyo-to, Taito-ku Komagata 2-4-10, Japan",482,8.5,3,Very good
77,L stay & grow Minami Sunamachi,Tokyo,"136-0076 Tokyo-to, 7-10-14 Minamisuna, Japan",437,8.6,3,Fabulous
78,hotel MONday Haneda Airport,Tokyo,"144-0047 Tokyo-to, Ota-ku Haginaka 3-6-9, Japan",2474,8.2,3,Very good
79,Far East Village Hotel Tokyo Ariake,Tokyo,"135-0063 Tokyo-to, Koto-ku Ariake 1-2-43, Japan",2535,8.1,5,Very good
80,The Peninsula Tokyo,Tokyo,"100-0006 Tokyo-to, Chiyoda-ku Yurakucho 1-8-1, Japan",482,9.1,3,Superb
81,Hotel Graphy Nezu,Tokyo,"110-0008 Tokyo-to, Taito-ku Ikenohata 4-5-10, Japan",1345,8.3,3,Very good
82,APA Hotel Ueno Inaricho Ekikita,Tokyo,"110-0015 Tokyo-to, Taito-ku Higashiueno 5-10-8, Japan",1393,8.2,4,Very good
83,Shinjuku Washington Hotel,Tokyo,"160-8336 Tokyo-to, Shinjuku-ku, Nishishinjuku 3-2-9, Japan",3899,7.1,3,Good
84,Super Hotel Tokyo Otsuka,Tokyo,"170-0004 Tokyo-to, Toshima-ku Kitaotsuka 2-17-13, Japan",542,8.5,3,Very good
85,APA Hotel Keikyu Kamata-Ekimae,Tokyo,"144-0052 Tokyo-to, Ota-ku, Kamata 3-19-1, Japan",918,8.4,3,Very good
86,Super Hotel JR Ueno Iriyaguchi,Tokyo,"110-0005 Tokyo-to, Taito-ku Ueno 7-9-14, Japan",228,7.7,3,Good
87,HOTEL MYSTAYS Hamamatsucho,Tokyo,"105-0013 Tokyo-to, Minato-ku, Hamamatsucho 1-18-14 , Japan",1045,8.0,3,Very good
88,Toyoko Inn Tokyo Akiba Asakusabashi-eki Higashi-guchi,Tokyo,"111-0052 Tokyo-to, Taito-ku Yanagibashi 2-14-4, Japan",323,7.8,3,Good
89,HOTEL MYSTAYS Asakusabashi,Tokyo,"111-0053 Tokyo-to, Taito-ku Asakusabashi 1-5-5 , Japan",1498,8.0,3,Very good
90,Ryogoku View Hotel,Tokyo,"130-0036 Tokyo-to, Sumida-ku Ryogoku 2-19-1, Japan",269,7.8,3,Good
91,APA Hotel & Resort Nishishinjuku-Gochome-Eki Tower,Tokyo,"151-0071 Tokyo-to, Shibuya-ku Honmachi 3-14-1, Japan",1235,8.2,1,Very good
