sno,Hotel_Name,Room_type,Single_Bed,Double_bed,price
123,APA Hotel Roppongi SIX,Double Room - Electric cigarette only,single bed,double bed,6420
124,Hotel Mystays Premier Akasaka,Superior Double Room - Smoking,single bed,double bed,9379
125,DDD HOTEL,Minimal Double Room,single bed,double bed,10607
126,APA Hotel Sugamo Ekimae,Double Room - Non-Smoking,single bed,double bed,5929
127,KOKO HOTEL Residence Asakusa Kappabashi,Standard Room - Non-Smoking,single bed,,19062
128,KOKO HOTEL Residence Asakusa Tawaramachi,Standard Room - Non-Smoking,single bed,,16832
129,MIMARU Tokyo KINSHICHO,Apartment,single bed,,23800
130,Hotel GrandBach Tokyo Ginza,Double Room B,single bed,double bed,27999
131,MONday Apart Premium UENO OKACHIMACHI,Room Selected at Check-In - Non-Smoking,single bed,,21394
132,Minn Akihabara,Standard Quadruple Room,single bed,,12059
133,MONday Apart Akihabara Southeast,Standard Family Room,single bed,double bed,21283
134,Minn Kasai,Standard Triple Room,single bed,,8933
135,MONday Apart Premium 銀座新富町,Superior Family Room,single bed,double bed,21462
136,MONday Apart Premium UENO,Standard Family Room,single bed,double bed,23717
137,MUSTARD HOTEL SHIMOKITAZAWA,Superior Twin Room,single bed,double bed,15409
138,MONday Apart Premium AKIHABARA,Superior Family Room,single bed,double bed,25163
139,MONday Apart Premium AKIHABARA ASAKUSABASHI Sta.,Superior king room,single bed,double bed,24394
140,Pangoo品川,One-Bedroom Apartment,single bed,double bed,16162
141,MONday Apart 日本橋水天宮前,Room Selected at Check-In - Non-Smoking,single bed,double bed,20476
142,Minn Nishi-Kasai,Standard Family Room,single bed,,14739
143,MONday Apart Premium 日本橋,Room Selected at Check-In - Non-Smoking,single bed,double bed,18188
144,MONday Apart Hamamatsucho Daimon,Superior king room,single bed,double bed,23582
145,MONday Apart Ueno Shinokachimachi,Room Selected at Check-In - Non-Smoking,single bed,double bed,16838
146,HOTEL VARKIN ANNEX,Standard Double Room,,double bed,10903
147,Hotel K5,Junior Suite with Bathtub,,double bed,62824
148,PROSTYLE RYOKAN TOKYO ASAKUSA,Japanese-Style King Bed Room with Partially Open-Air Bath,,double bed,25793
149,hotel MONday Premium Ueno Okachimachi,Deluxe Twin Room with Sofa bed,single bed,double bed,11183
150,hotel MONday Akihabara Asakusabashi,Deluxe Twin Room with Extra Bed,single bed,double bed,10012
151,Henn na Hotel Tokyo Asakusa Tawaramachi,Twin Room,single bed,double bed,13120
152,La'gent Hotel Shinjuku Kabukicho,Standard Double Room,single bed,double bed,13399
153,hotel MONday Tokyo Nishikasai,Standard Double Room,single bed,double bed,5585
154,Hotel Resol Akihabara,Double Room - Non-Smoking,single bed,double bed,13717
155,Hotel Gracery Asakusa,Room Selected at Check-In,single bed,double bed,12171
156,Hotel Musse Ginza Meitetsu,Moderate Small Double Room - Non-Smoking,single bed,double bed,21304
157,The Millennials Shibuya,2 Adjacent Smart Capsules - Female Only,single bed,,15514
