Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Hotel Edward Paddington,yes,"1A Spring Street, Paddington, Westminster Borough, London, W2 3RA, United Kingdom","3,631 reviews",7.0,3 out of 5,Good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Twin Room,"₹ 9,645"
Parkwood Hotel,yes,"4 Stanhope Place, Marble Arch, Westminster Borough, London, W2 2HB, United Kingdom","1,510 reviews",7.7,4 out of 5,Good,yes,no,no,NA,yes,no,Full English/Irish,single bed,double bed,Budget Triple Room,"₹ 19,835"
The Villa Kensington,yes,"10-11 Ashburn Gardens, Kensington and Chelsea, London, SW7 4DG, United Kingdom","1,500 reviews",7.4,4 out of 5,Good,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Triple Room,"₹ 20,242"
Large Guest room overlooking London,yes,"4 Overbury Street Flat 41 Ilkeston Court, London, E5 0TF, United Kingdom",NA,NA,4 out of 5,NA,no,no,no,NA,yes,no,NA,NA,double bed,Double Room,"₹ 6,884"
Hour Glass Hotel,yes,"131 Beaconsfield Road, Southwark, London, SE17 2BX, United Kingdom",909 reviews,7.0,2 out of 5,Good,yes,yes,no,Bar,yes,no,NA,single bed,double bed,Double Room with Shared Bathroom,"₹ 7,731"
Montagu Place Hotel,yes,"2 Montagu Place,, Westminster Borough, London, W1H 2ER, United Kingdom",532 reviews,8.1,4 out of 5,Very good,no,yes,no,Bar,yes,no,Continental,single bed,double bed,Standard Double Room,"₹ 21,971"
Canary Wharf Studios,yes,"10 Gaselee Street, Tower Hamlets, London, E14 9QZ, United Kingdom","2,332 reviews",7.0,2 out of 5,Good,yes,yes,no,NA,yes,no,NA,single bed,double bed,Budget Double Room,"₹ 10,172"
Best Western Chiswick Palace & Suites London,yes,"73 Chiswick High Road, Chiswick, London, W4 2LS, United Kingdom","2,476 reviews",8.0,3 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Gluten-free",single bed,double bed,Standard Double Room,"₹ 10,070"
Marlin Apartments Commercial Road - Limehouse,yes,"577 Commercial Road, Limehouse, Tower Hamlets, London, E1 0HJ, United Kingdom",365 reviews,7.3,4 out of 5,Good,yes,yes,no,NA,yes,yes,NA,NA,double bed,Studio Apartment,"₹ 12,715"
Camden Reach 2 bed Apartment 10 mins from Euston - Kings Cross Station,yes,"70 Oakley Square, Camden, London, NW1 1NJ, United Kingdom",NA,NA,2 out of 5,NA,yes,no,no,NA,yes,no,NA,NA,double bed,Two-Bedroom Apartment,"₹ 13,549"
Elmwood Hotel,yes,"19 & 20 Argyle square, Camden, London, WC1H 8AS, United Kingdom","1,798 reviews",5.9,4 out of 5,Passable,yes,yes,no,NA,yes,no,Continental,single bed,double bed,Double Room,"₹ 11,596"
Seaview,yes,"7 Wyatt Close, Southwark, London, SE16 5UL, United Kingdom",4 reviews,8.3,5 out of 5,Very good,no,no,no,NA,yes,no,"Vegan, Breakfast to go",single bed,NA,Double Room with Lake View,"₹ 8,646"
The Resident Kensington,yes,"25 Courtfield Gardens, Kensington and Chelsea, London, SW5 0PG, United Kingdom",948 reviews,8.7,4 out of 5,Fabulous,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Bunk Bed Room,"₹ 14,444"
Deluxe Homestay near Tottenham Hotspur Stadium,yes,"133 Sherringham Avenue, London, N17 9RU, United Kingdom",160 reviews,8.4,3 out of 5,Very good,yes,yes,no,NA,yes,no,NA,NA,double bed,Double Room,"₹ 7,629"
