Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Vortex KLCC Apartments,yes,"42-5 Vortex Suites & Residences, 12 Jalan Sultan Ismail, 50250 Kuala Lumpur, Malaysia","1,334 reviews",8.3,3 out of 5,Very good,yes,yes,no,NA,yes,yes,NA,NA,double bed,Two-Bedroom Apartment with Two Bathrooms,"₹ 3,687"
Societe Suites Kuala Lumpur,yes,"Jalan 27/70a, 50480 Kuala Lumpur, Malaysia",27 reviews,8.2,3 out of 5,Very good,yes,yes,no,NA,no,no,NA,single bed,double bed,Deluxe King Studio,"₹ 3,564"
Ceylonz Starlight Suites Bukit Bintang,yes,"3 Persiaran Raja Chulan Bukit Kewangan, Bukit Bintang, 50200 Kuala Lumpur, Malaysia","3,576 reviews",8.3,3 out of 5,Very good,no,yes,no,NA,no,yes,NA,single bed,double bed,Designer Queen Studio,"₹ 4,204"
Times Square Private Service Suite At KL,yes,"1 Jalan Imbi Berjaya Times Square East Suite A-20-22, Bukit Bintang, 55100 Kuala Lumpur, Malaysia",256 reviews,7.3,4 out of 5,Good,yes,yes,no,Bar,no,yes,"Vegetarian, Halal, Asian",single bed,double bed,Standard Double Suite,"₹ 2,388"
Empire Suite At Times Square Kuala Lumpur,yes,"1 Jalan Imbi Suite A1918, Berjaya Times Square East Wing., Bukit Bintang, 55100 Kuala Lumpur, Malaysia",149 reviews,7.2,5 out of 5,Good,yes,yes,no,Bar,yes,yes,NA,single bed,double bed,Superior Apartment,"₹ 2,919"
Apartment at Times Square KL,yes,"1 jalan imbi Berjaya Times Square East Wing A-30-11, Bukit Bintang, 55100 Kuala Lumpur, Malaysia",40 reviews,7.6,4 out of 5,Good,yes,no,no,Bar,no,yes,NA,single bed,double bed,Studio Apartment,"₹ 3,503"
Axon Residence Bukit Bintang by Luna,yes,"Jalan Walter Granier, Bukit Bintang, 55100 Kuala Lumpur, Malaysia",21 reviews,9.0,3 out of 5,Superb,yes,yes,no,NA,no,yes,NA,NA,double bed,One-Bedroom Apartment,"₹ 5,294"
Worldview Grand Hotel,yes,"Jalan 10/23a, 53300 Kuala Lumpur, Malaysia",1 review,8.0,2 out of 5,Very good,yes,yes,no,NA,no,yes,NA,single bed,double bed,Deluxe Family Room,"₹ 1,282"
Eaton Residence KLCC,yes,"26 Jalan Kia Peng, 50450 Kuala Lumpur, Malaysia",193 reviews,9.2,3 out of 5,Superb,yes,yes,no,Bar,yes,yes,NA,NA,double bed,One-Bedroom Apartment,"₹ 9,554"
City Apartment Times Square Kuala Lumpur,yes,"1 Jalan Imbi Berjaya Times Square,East wing (A-19-20), Bukit Bintang, 55100 Kuala Lumpur, Malaysia",87 reviews,7.3,3 out of 5,Good,yes,no,yes,Bar,no,yes,NA,single bed,double bed,Deluxe Apartment,"₹ 3,928"
Hotel MSP,yes,"63 Jalan Berangan Bukit Bintang, Bukit Bintang, 50200 Kuala Lumpur, Malaysia",131 reviews,7.2,4 out of 5,Good,yes,yes,no,NA,yes,no,NA,single bed,double bed,Queen Room,"₹ 2,050"
Capital O 90841 New One Enigma Hotel,no,"Jalan 1/64 Jalan Ipoh, 51200 Kuala Lumpur, Malaysia",11 reviews,6.6,3 out of 5,Pleasant,no,yes,no,NA,yes,no,NA,single bed,double bed,Standard Double Room,"₹ 1,278"
Happy Stay Apartment At Times Square,yes,"no1 jalan imbi berjaya times square east B 35-17, Bukit Bintang, 55100 Kuala Lumpur, Malaysia",54 reviews,8.2,4 out of 5,Very good,yes,yes,no,Bar,no,yes,NA,single bed,double bed,Deluxe Queen Studio,"₹ 3,304"
Grand Suite At Times Square KL,yes,"Jalan Imbi 18.01, Block A, Berjaya Times Square Hotel., Bukit Bintang, 55100 Kuala Lumpur, Malaysia",144 reviews,7.3,4 out of 5,Good,yes,yes,no,Bar,no,yes,NA,single bed,double bed,Superior Apartment,"₹ 4,598"
Residence Suite At Times Square KL,yes,"No,1 jalan imbi, Berjaya Times square East, A-42-10, Bukit Bintang, 55100 Kuala Lumpur, Malaysia",282 reviews,7.3,4 out of 5,Good,yes,no,no,NA,no,yes,NA,single bed,double bed,Studio,"₹ 2,357"
Bintang Lux B&B Suites Times Square Kl,yes,"Jalan Imbi, Bukit Bintang, 55100 Kuala Lumpur, Malaysia",9 reviews,8.9,3 out of 5,Fabulous,yes,yes,no,Bar,no,yes,NA,single bed,double bed,Deluxe Apartment,"₹ 3,967"
Axon Serviced Suite KL,yes,"Jalan Gading, Bukit Bintang, 55100 Kuala Lumpur, Malaysia",8 reviews,9.4,5 out of 5,Superb,yes,yes,no,NA,no,no,NA,single bed,double bed,Deluxe King Room,"₹ 7,068"
KL Center Apartment at Times Square,yes,"BERJAYA TIMES SQUARE (APT) NO 1 JALAN IMBI, Bukit Bintang, 55100 Kuala Lumpur, Malaysia",47 reviews,7.9,4 out of 5,Good,yes,yes,no,Bar,yes,yes,NA,single bed,double bed,Deluxe King Suite,"₹ 6,192"
SKY KL suite at time square,no,"1 Jalan Imbi unit 22 floor 37 serviced apartments, Bukit Bintang, 55100 Kuala Lumpur, Malaysia",51 reviews,8.1,4 out of 5,Very good,yes,no,no,NA,no,no,NA,single bed,double bed,Studio,"₹ 2,691"
Summer Service Suite Klcc By CityBox,no,"B-11-07, Mercu Summer Suites 8, JLN Cendana, Off JLN Sultan Ismail, 50250 Kuala Lumpur, 50450 Kuala Lumpur, Malaysia",8 reviews,9.6,5 out of 5,Exceptional,yes,no,no,Bar,no,no,NA,NA,double bed,Deluxe Double Room,"₹ 4,405"
Sentral Suites KualaLumpur,yes,"248 Jalan Tun Sambanthan, Brickfields, 50400 Kuala Lumpur, Malaysia",11 reviews,9.5,3 out of 5,Exceptional,yes,yes,yes,Bar,no,yes,NA,single bed,double bed,Deluxe King Studio,"₹ 5,628"
Like Home Star KLCC,yes,"No 1, Jalan Yap Kwan Seng 50450 Kuala Lumpur , 50400 Kuala Lumpur, Malaysia",745 reviews,8.2,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,NA,single bed,double bed,One-Bedroom Apartment,"₹ 5,732"
Platinum Suite KLCC By CityBox,yes,"Platinum Suites, 1020 Jalan Sultan Ismail, Kuala Lumpur, 50250, Malaysia, 50250 Kuala Lumpur, Malaysia","1,025 reviews",8.5,4 out of 5,Very good,yes,yes,no,Bar,no,yes,NA,NA,double bed,Deluxe Suite,"₹ 6,353"
JW Marriott Kuala Lumpur,yes,"183 Jalan Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Malaysia","3,386 reviews",8.6,4 out of 5,Fabulous,yes,yes,no,Bar,no,yes,"Continental, American",single bed,double bed,Superior King Room,"₹ 8,321"
ECO HOTEL at BB,yes,"Jalan Pudu, Bukit Bintang, 55100 Kuala Lumpur, Malaysia",79 reviews,6.7,4 out of 5,Pleasant,yes,yes,no,NA,yes,yes,Asian,single bed,double bed,Standard Double Room,"₹ 1,543"
Chambers Suites KL,yes,"No.2A Jalan Ipoh kecil Chambers Residence, Chow Kit, 50350 Kuala Lumpur, Malaysia",27 reviews,7.8,4 out of 5,Good,yes,yes,no,Bar,no,yes,NA,NA,double bed,Studio with Balcony,"₹ 4,049"
Vortex Suites KLCC Kuala Lumpur,yes,"Vortex klcc, 50250 Kuala Lumpur, Malaysia",970 reviews,8.3,4 out of 5,Very good,no,yes,no,NA,yes,no,NA,single bed,double bed,Deluxe Two-Bedroom Suite,"₹ 3,928"
Tropicana Residence Klcc @ Roof Top Swimming Pool,yes,"121 Jalan Ampang, 50450 Kuala Lumpur, Malaysia",172 reviews,8.4,3 out of 5,Very good,yes,yes,no,Bar,yes,yes,NA,NA,double bed,One-Bedroom Apartment,"₹ 5,888"
Summer suites near klcc,yes,"Mercu summer suites, 8 jalan cendana, B 31-16, 50250 Kuala Lumpur, Malaysia",6 reviews,9.3,4 out of 5,Superb,yes,yes,no,NA,no,no,NA,NA,double bed,One-Bedroom Apartment,"₹ 3,848"
Expressionz KLCC by Wodages,yes,"Jalan Tun Razak Expressionz Professional Suites, 50400 Kuala Lumpur, Malaysia","2,897 reviews",8.1,4 out of 5,Very good,no,yes,no,Bar,no,yes,NA,single bed,double bed,Deluxe King Studio Apartment,"₹ 2,675"
Flixses Suites at Platinum KLCC,yes,"1020, Jalan Sultan Ismail, 50250 Kuala Lumpur, Malaysia",235 reviews,8.8,4 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,NA,single bed,double bed,One-Bedroom Apartment,"₹ 5,254"
Chambers Suites KLCC By Sky pool,yes,"Jalan Ipoh Kecil Chambers kuala lumpur suites, 23A-09, Chow Kit, 50350 Kuala Lumpur, Malaysia",57 reviews,8.6,3 out of 5,Fabulous,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Deluxe Queen Studio,"₹ 3,221"
ECO HOTEL at BUKIT BINTANG,no,"179 Jalan Pudu, Bukit Bintang, 55100 Kuala Lumpur, Malaysia",183 reviews,7.2,4 out of 5,Good,yes,yes,no,NA,no,yes,Continental,single bed,double bed,Standard Double or Twin Room,"₹ 2,017"
Hotel Dlima Inn Bukit,no,"48 Tengkat Tong Shin NO-48, TENGKAT TONG SHIN. BUKIT BINTANG 50200 KUALA LUMPUR, Bukit Bintang, 50200 Kuala Lumpur, Malaysia",29 reviews,7.1,4 out of 5,Good,yes,yes,no,Bar,no,no,NA,single bed,double bed,Standard Double Room,"₹ 2,211"
KL Times Square Apartment,yes,"1, Jalan Imbi Berjaya Tumes Square East, suite A-32-09, Bukit Bintang, 55100 Kuala Lumpur, Malaysia","1,295 reviews",7.6,4 out of 5,Good,yes,yes,no,Bar,yes,yes,"Vegetarian, Halal, Asian",single bed,double bed,Standard Apartment,"₹ 2,693"
