Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
NUO By juSTa,yes,"C-22, Greater Kailash 1, Kailash Colony, 110048 New Delhi, India",210 reviews,7.2,3 out of 5,Good,no,yes,no,NA,yes,no,"Continental, Italian, Asian",NA,double bed,Standard King Room,"₹ 6,000"
"Udman Hotel at 18km from IGI Airport, By Ferns N Petals, Chattarpur, Delhi",yes,"Plot No.538, Main Chhatarpur Rd, Chandan Hola, Delhi, 110074, Chattarpur, 110074 New Delhi, India",10 reviews,7.3,3 out of 5,Good,yes,yes,no,NA,no,yes,"Continental, Vegetarian, Halal, Asian, American",single bed,double bed,Budget Double Room,"₹ 5,849"
Pink Wood,no,"270 , Near Hotel Metro Tower Near Igi airport , New delhi, 110037 New Delhi, India",5 reviews,1.0,3 out of 5,Bad,yes,yes,no,Bar,no,no,NA,NA,double bed,Deluxe Double Room,"₹ 1,250"
Hotel Almati Inn at Delhi Airport,yes,"A-260,Street No-6, Near Delhi IGI International Airport, Mahipalpur, Mahipalpur, 110037 New Delhi, India",638 reviews,7.3,3 out of 5,Good,yes,yes,no,NA,no,yes,"Continental, Vegetarian, Vegan, Kosher, Asian",single bed,double bed,Deluxe Double or Twin Room,"₹ 2,430"
The Stay Inn New Delhi,yes,"253/3 Forest Lane ,Near Country Club ,opposite saket , Sainik Farm ,New Delhi, 110068 New Delhi, India",51 reviews,8.9,3 out of 5,Fabulous,yes,yes,no,Bar,yes,no,"Continental, Vegetarian, Asian, American",single bed,double bed,Standard Double or Twin Room,"₹ 5,000"
FabHotel Sentinel Suites,yes,"A-2/9,2nd Floor Safdarjung Enclave Bhikaji Cama Place Afeica Avenue Road New Delhi 110029 Africa Avenue Road New Delhi 110029, 110029 New Delhi, India",20 reviews,4.5,3 out of 5,Disappointing,yes,yes,no,NA,no,no,Continental,NA,double bed,Deluxe Room,"₹ 2,371"
OYO Flagship Arjun Palace Near Gurudwara Shri Bangla Sahib,no,"2977/3 Chuna Mandi Road, Gali No 3 Pahadganj, Near Hari Masjid, Paharganj, 110055 New Delhi, India",9 reviews,1.6,5 out of 5,Bad,no,no,no,NA,no,no,Continental,NA,double bed,Classic Triple Room,"₹ 1,852"
Hotel Aura,yes,"31, Arakashan Road, Pahar Ganj, Paharganj, 110055 New Delhi, India",878 reviews,7.4,3 out of 5,Good,yes,yes,no,NA,no,yes,Continental,single bed,double bed,Executive room with Bathtub,"₹ 3,656"
Roomshala 028 Blu Lagoon - Opposite Select City Walk Mall,yes,"167a, Khirki Extension, Malviya Nagar Opposite Select City Walk Mall, Malviya Nagar, 110017 New Delhi, India",64 reviews,7.2,3 out of 5,Good,yes,yes,no,NA,yes,yes,Vegetarian,NA,double bed,Deluxe Double Room (2 Adults + 1 Child),"₹ 2,800"
Hotel Baba Inn-By RCG Hotels,yes,"7768-69, 1B, Ram Nagar, Paharganj, Near New Delhi Railway Station, Paharganj, 110055 New Delhi, India",52 reviews,7.4,3 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian",NA,double bed,Standard Double or Twin Room,"₹ 2,000"
