Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
STB-Double BED with Private Washroom,yes,"32 Saintsbury Square, Scarborough, M1V 3K2 Toronto, Canada",NA,NA,4 out of 5,NA,no,no,no,NA,yes,no,NA,NA,double bed,Double Room with Private Bathroom,"₹ 9,926"
Toronto central area double bed room,yes,"33 Willowbank Boulevard, M4R 1B7 Toronto, Canada",9 reviews,9.2,3 out of 5,Superb,no,no,no,NA,yes,no,NA,NA,double bed,Double Room,"₹ 10,308"
Yorkmills and Bayview !A Spacious and Modern Private Bdr with Shared Bathroom,yes,"235 York Mills Road, North York, M2L 1L2 Toronto, Canada",37 reviews,8.5,5 out of 5,Very good,no,yes,no,NA,no,no,NA,single bed,double bed,Queen Room with Shared Bathroom,"₹ 5,055"
Two BR Two BR plus study Yorkville condo,yes,"188 Cumberland Street, M5R 0B6 Toronto, Canada",14 reviews,8.1,3 out of 5,Very good,no,no,no,Bar,yes,yes,NA,NA,double bed,Three-Bedroom Apartment,"₹ 18,421"
"Kimpton Saint George Hotel, an IHG Hotel",yes,"280 Bloor Street West, M5S 1V8 Toronto, Canada",425 reviews,8.5,5 out of 5,Very good,no,yes,no,Bar,yes,yes,"Continental, American",NA,double bed,1 King,"₹ 23,368"
The Drake Hotel,yes,"1150 Queen Street West, M6J 1J3 Toronto, Canada",187 reviews,8.2,3 out of 5,Very good,no,yes,yes,Bar,yes,no,NA,NA,double bed,Crash Pad,"₹ 23,365"
Hotel Victoria,yes,"56 Yonge Street, ON M5E 1G5 Toronto, Canada",52 reviews,5.9,4 out of 5,Passable,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Standard Queen Room,"₹ 20,501"
Lilac private unit 10-min to airport,yes,"91 Lilac Avenue, Etobicoke, M9M 1G4 Toronto, Canada",5 reviews,7.6,5 out of 5,Good,no,no,no,NA,yes,no,NA,NA,double bed,Two-Bedroom Apartment,"₹ 10,794"
Le Germain Hotel Toronto,yes,"30 Mercer Street, M5V 1H3 Toronto, Canada",250 reviews,8.5,5 out of 5,Very good,yes,yes,no,Bar,yes,yes,NA,NA,double bed,Deluxe King Room,"₹ 32,612"
Yonge and Finch Subway !S Spacious and Modern Private Bd with Shared Bathroom,yes,"208 Finch Avenue East, North York, M2N 4R9 Toronto, Canada",46 reviews,8.6,4 out of 5,Fabulous,no,yes,no,NA,no,no,NA,NA,double bed,Queen Room with Shared Bathroom,"₹ 4,101"
Executive Hotel Cosmopolitan Toronto,yes,"8 Colborne Street, M5E 1E1 Toronto, Canada","1,785 reviews",7.9,4 out of 5,Good,yes,yes,no,Bar,yes,yes,NA,NA,double bed,Studio,"₹ 23,248"
