Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Hôtel Harvey,yes,"7 Bis, Rue du Débarcadère, 17th arr., 75017 Paris, France",512 reviews,8.6,2 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Standard Double Room Opera,"₹ 23,864"
Hôtel Plaza Étoile,yes,"21 Avenue de Wagram, 17th arr., 75017 Paris, France","1,218 reviews",8.2,3 out of 5,Very good,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Superior Double or Twin Room,"₹ 37,122"
charmant Appartement Vaugirard,no,"10 Rue Marmontel, 15th arr., 75015 Paris, France",3 reviews,7.3,4 out of 5,Good,no,no,no,NA,yes,no,NA,NA,double bed,One-Bedroom Apartment,"₹ 15,026"
Hôtel Montsouris Orléans,yes,"15 rue Beaunier, 14th arr., 75014 Paris, France",735 reviews,7.3,4 out of 5,Good,yes,yes,no,NA,yes,no,Continental,single bed,double bed,Double Room,"₹ 10,164"
Georgette Hôtel & Restaurant,yes,"36 rue du Grenier Saint Lazare, 3rd arr., 75003 Paris, France",742 reviews,8.3,3 out of 5,Very good,yes,yes,yes,Bar,yes,yes,NA,NA,double bed,Classic Double Room,"₹ 24,130"
"Holiday Inn Paris Opéra - Grands Boulevards, an IHG Hotel",yes,"30/32 Boulevard Poissonnière, 9th arr., 75009 Paris, France","1,281 reviews",8.2,4 out of 5,Very good,yes,yes,no,NA,yes,yes,American,single bed,double bed,Standard Double or Twin Room,"₹ 28,549"
Hotel Clément,yes,"6 rue Clement, 6th arr., 75006 Paris, France","1,515 reviews",8.6,3 out of 5,Fabulous,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Superior Room,"₹ 19,268"
Hotel Beausejour,yes,"71 avenue Parmentier, 11th arr., 75011 Paris, France",815 reviews,7.6,2 out of 5,Good,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Standard Double Room,"₹ 18,915"
Hotel Saint-Louis en L'Isle,yes,"75 Rue Saint-Louis en L'ile, 4th arr., 75004 Paris, France",814 reviews,9.1,3 out of 5,Superb,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Comfort Double Room,"₹ 34,829"
Best Western Nouvel Orléans Montparnasse,yes,"25 avenue du General Leclerc, 14th arr., 75014 Paris, France","2,090 reviews",7.8,3 out of 5,Good,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Double Room,"₹ 18,288"
Appartement Poulet - Sacré Cœur,yes,"8 Rue Poulet, 18th arr., 75018 Paris, France",2 reviews,9.5,3 out of 5,Exceptional,yes,yes,no,NA,yes,no,NA,NA,double bed,One-Bedroom Apartment,"₹ 19,445"
Saphir Grenelle,yes,"10, Rue du Commerce, 15th arr., 75015 Paris, France","1,160 reviews",7.1,5 out of 5,Good,no,yes,no,NA,yes,yes,Continental,single bed,double bed,Double Room,"₹ 14,230"
Jardins Eiffel,yes,"8, Rue Amelie, 7th arr., 75007 Paris, France","3,490 reviews",8.4,2 out of 5,Very good,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Comfort Double Room,"₹ 31,819"
Hotel Studia,yes,"51 bd Saint Germain, 5th arr., 75005 Paris, France","1,270 reviews",7.9,3 out of 5,Good,yes,yes,no,NA,yes,no,Continental,single bed,double bed,Double Room,"₹ 11,932"
Timhotel Odessa Montparnasse,yes,"8, rue d'Odessa, 14th arr., 75014 Paris, France","1,967 reviews",7.7,3 out of 5,Good,yes,yes,no,NA,no,yes,Buffet,single bed,double bed,Comfort Double Room,"₹ 11,932"
Hotel Luxia,yes,"8 Rue Seveste, 18th arr., 75018 Paris, France",570 reviews,7.7,3 out of 5,Good,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Double Room with Private Bathroom,"₹ 13,444"
Hôtel Edgar & Achille,yes,"1 rue Saint Foy, 2nd arr., 75002 Paris, France",728 reviews,8.1,5 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Gluten-free",single bed,double bed,Deluxe Double or Twin Room,"₹ 29,521"
