Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Classik Hotel Alexander Plaza,yes,"Rosenstraße 1, Mitte, 10178 Berlin, Germany","2,442 reviews",8.5,3 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Gluten-free",single bed,double bed,Double Room,"₹ 11,801"
Motel Plus Berlin,yes,"Silbersteinstraße 30-34, Neukölln, 12051 Berlin, Germany","5,195 reviews",7.6,3 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Vegan, Gluten-free",single bed,double bed,Standard Twin Room,"₹ 6,983"
New Berlin,yes,"Petersburger Str. 24, Friedrichshain-Kreuzberg, 10249 Berlin, Germany","1,712 reviews",8.1,3 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Vegan, American",single bed,double bed,Design Double Room,"₹ 12,091"
M-Pire Hotel Berlin,yes,"160 Rudower Straße, Neukölln, 12351 Berlin, Germany",19 reviews,8.3,3 out of 5,Very good,no,yes,no,Bar,yes,yes,"Continental, Vegetarian, Halal",single bed,double bed,Double Room,"₹ 10,164"
Hotel Arena Rooms - Berlin Mitte,yes,"Habersaathstraße 40a-42, Mitte, 10115 Berlin, Germany",941 reviews,5.2,3 out of 5,Passable,no,yes,no,NA,yes,no,NA,single bed,double bed,Double Room,"₹ 7,159"
Leonardo Boutique Hotel Berlin City South,yes,"Rudower Straße 80-82, Neukölln, 12351 Berlin, Germany","2,986 reviews",8.1,3 out of 5,Very good,no,yes,no,Bar,yes,yes,Continental,single bed,double bed,Comfort Room,"₹ 7,875"
Hotel BIRGIT Berlin Mitte,yes,"Schwedter Str. 15, Mitte, 10119 Berlin, Germany","1,987 reviews",8.2,3 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Vegetarian, Vegan, Gluten-free",single bed,double bed,Twin Room,"₹ 10,111"
about:berlin Hotel,yes,"Tauentzienstr. 8, Charlottenburg-Wilmersdorf, 10789 Berlin, Germany","3,365 reviews",8.6,3 out of 5,Fabulous,no,yes,no,Bar,yes,yes,Vegetarian,single bed,double bed,Small Double Room,"₹ 14,053"
Capri by Fraser Berlin,yes,"SCHARRENSTRASSE 22, Mitte, 10178 Berlin, Germany","2,012 reviews",8.5,3 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Gluten-free",single bed,double bed,Deluxe Studio,"₹ 14,053"
CLUB Lodges Berlin Mitte,yes,"Caroline-Michaelis-Straße 8, Mitte, 10115 Berlin, Germany","1,639 reviews",7.7,4 out of 5,Good,yes,yes,no,Bar,yes,no,NA,single bed,double bed,Twin-Bed Cottage with Shared Bathroom,"₹ 6,284"
Hotel Messe am Funkturm,yes,"Wundtstr. 72, Charlottenburg-Wilmersdorf, 14057 Berlin, Germany","1,558 reviews",6.2,4 out of 5,Pleasant,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Double or Twin Room,"₹ 6,214"
limehome Berlin Luise Henriette Str - Digital Access,yes,"4 Luise-Henriette-Straße, Tempelhof-Schöneberg, 12103 Berlin, Germany","1,554 reviews",8.4,3 out of 5,Very good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Suite,"₹ 11,490"
relexa hotel Stuttgarter Hof,yes,"Anhalter Str. 8-9, Friedrichshain-Kreuzberg, 10963 Berlin, Germany","2,681 reviews",8.0,3 out of 5,Very good,no,yes,no,Bar,yes,yes,"Vegetarian, Vegan, Gluten-free",single bed,double bed,Standard Double Room,"₹ 11,579"
Pension Marie Prenzlauer Berg,yes,"Schivelbeiner Str. 42, Prenzlauer Berg, 10439 Berlin, Germany",446 reviews,7.0,3 out of 5,Good,yes,yes,no,NA,yes,no,NA,single bed,double bed,Triple Room,"₹ 8,384"
Lux 11 Berlin-Mitte,yes,"Rosa-Luxemburg-Str. 9-13, Mitte, 10178 Berlin, Germany","1,351 reviews",8.4,3 out of 5,Very good,yes,yes,no,NA,yes,yes,NA,NA,double bed,Standard Room,"₹ 12,343"
Rocco Forte Hotel De Rome,yes,"Behrenstraße 37, Mitte, 10117 Berlin, Germany",309 reviews,8.4,4 out of 5,Very good,no,yes,no,Bar,yes,yes,"Continental, Italian",NA,double bed,Classic Double or Twin Room,"₹ 32,615"
