Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Radisson Dubai Damac Hills,yes,"Al Hebiah, Artesia cluster at - DAMAC Hills – Dubai, Dubai, United Arab Emirates","2,449 reviews",8.4,3 out of 5,Very good,yes,yes,no,Bar,no,yes,"Continental, Full English/Irish, Vegetarian, Vegan, Halal, Gluten-free, Asian, American",single bed,double bed,Standard Room,"₹ 7,011"
"Holiday Inn Express Dubai Internet City, an IHG Hotel",yes,"Knowledge Village, Dubai Internet City, Dubai, United Arab Emirates","3,679 reviews",8.2,2 out of 5,Very good,no,yes,no,Bar,yes,yes,"Continental, Vegetarian, Halal, Asian, American",single bed,double bed,Twin Room - Non-Smoking,"₹ 6,564"
Premier Inn Dubai International Airport,yes,"52B Street, Opposite Terminal 3, Garhoud, Dubai, United Arab Emirates","15,702 reviews",8.3,3 out of 5,Very good,yes,yes,yes,Bar,no,yes,"Continental, Full English/Irish, Halal",single bed,double bed,Family Room - Non Smoking - Free DXB Airport Shuttle Every 30 mins to T3 & T1,"₹ 5,893"
Flora Inn Hotel Dubai Airport,yes,"Airport Road Po Box 125275, Garhoud, Dubai, United Arab Emirates","13,937 reviews",8.1,3 out of 5,Very good,yes,yes,no,NA,no,yes,"Continental, Vegetarian, Halal, Asian",single bed,double bed,Superior Room - Complimentary Transfer to the Beach,"₹ 7,478"
Ibis Mall Of The Emirates,yes,"Sheikh Zayed Road, Al Barsha, near Mall of Emirates, Al Barsha, Dubai, United Arab Emirates","5,371 reviews",7.5,3 out of 5,Good,no,yes,no,Bar,yes,yes,"Continental, Halal",single bed,double bed,Standard Double Room,"₹ 6,328"
MRA Grand Hotel,yes,"12 Al Raffa Street MRA Grand Hotel, Bur Dubai, Dubai, United Arab Emirates",640 reviews,6.2,4 out of 5,Pleasant,yes,yes,no,NA,no,yes,Continental,NA,double bed,Deluxe Double or Twin Room,"₹ 2,032"
Signature Inn Hotel - Free Parking,yes,"31 17B Street, Dubai, United Arab Emirates",48 reviews,5.0,4 out of 5,Passable,yes,yes,no,Bar,no,yes,NA,single bed,double bed,Double or Twin Room - Parking included,"₹ 4,059"
Studio M Al Barsha Hotel by Millennium,yes,"Street 5 Al Barsha, Al Barsha, Dubai, United Arab Emirates","3,293 reviews",8.3,5 out of 5,Very good,no,yes,no,Bar,no,yes,Continental,single bed,double bed,Urban King Room with 20% Discount on SPA,"₹ 5,852"
a room for ladies only in marina pinnacle tiger tower,yes,"Al Sharta Street, Dubai Marina, Dubai, United Arab Emirates",NA,NA,4 out of 5,NA,no,no,no,Bar,no,no,NA,NA,double bed,Double Room with Private Bathroom,"₹ 9,144"
Hampton by Hilton Dubai Al Seef,yes,"Al Seef Street, Umm Hurair 1, Dubai Creek, P.O. Box 35449, Bur Dubai, Dubai, United Arab Emirates","3,308 reviews",8.2,4 out of 5,Very good,yes,no,no,Bar,no,no,"Continental, Vegetarian, Halal, American, Buffet",single bed,double bed,King Room,"₹ 6,158"
Grand Bellevue Hotel Apartment Dubai,yes,"Tecom, Barsha Heights (Tecom) , Dubai, United Arab Emirates",963 reviews,7.3,3 out of 5,Good,no,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Vegan, Halal, Gluten-free, American",single bed,double bed,Studio Apartment,"₹ 6,774"
The First Collection at Jumeirah Village Circle,yes,"JVC - Jumeirah Village - Dubai, Dubai, United Arab Emirates","9,657 reviews",8.6,3 out of 5,Fabulous,no,yes,yes,Bar,no,yes,NA,single bed,double bed,Classic Double Room,"₹ 9,555"
Swissôtel Al Murooj Dubai,yes,"Al Mustaqbal Street, Opposite The Dubai Mall, Downtown Dubai, Trade Centre, 117546 Dubai, United Arab Emirates","8,132 reviews",7.9,3 out of 5,Good,yes,yes,yes,Bar,no,yes,"Continental, Full English/Irish, Asian, American, Buffet",single bed,double bed,Classic King Room,"₹ 11,289"
"Staybridge Suites Dubai Al-Maktoum Airport, an IHG Hotel",no,"Aviation City A, Dubai World Central, null Dubai, United Arab Emirates",977 reviews,8.0,3 out of 5,Very good,yes,yes,no,Bar,no,yes,NA,single bed,double bed,"1 King bed Studio Suite City View - Free Shuttle to Jumeirah Beach, Ibn Battuta Mall and Al Maktoum Airport","₹ 5,060"
Grand Excelsior Hotel - Bur Dubai,yes,"Kuwait Street, Bur Dubai, Dubai, United Arab Emirates","3,911 reviews",8.0,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Asian",single bed,double bed,Deluxe Room with 25% off F&B,"₹ 8,108"
Studio business bay,yes,"Marasi Drive, Dubai, United Arab Emirates",NA,NA,4 out of 5,NA,no,no,no,NA,no,no,NA,NA,double bed,One-Bedroom Apartment,"₹ 8,580"
دبي,no,"دبي 742, Dubai Silicon Oasis, Dubai, United Arab Emirates",NA,NA,4 out of 5,NA,yes,yes,no,NA,yes,yes,NA,NA,double bed,One-Bedroom Apartment,"₹ 8,128"
Rove Expo 2020,yes,"Al Wasl Plaza Expo 2020, Dubai World Central, Dubai, United Arab Emirates","3,401 reviews",8.9,3 out of 5,Fabulous,yes,yes,no,Bar,no,yes,Continental,single bed,double bed,Cosy Rover Room,"₹ 5,394"
Ibis Al Barsha,yes,"Sheikh Zayed Road, Al Barsha, Dubai, United Arab Emirates","5,957 reviews",6.8,3 out of 5,Pleasant,no,yes,no,Bar,no,yes,"Continental, Full English/Irish, American",single bed,double bed,Twin Room,"₹ 5,298"
