Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Punthill Essendon,yes,"1142 Mount Alexander Road, 3040 Melbourne, Australia",328 reviews,7.8,4 out of 5,Good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Studio Apartment,"₹ 10,930"
Alto Hotel On Bourke,yes,"636 Bourke Street, 3000 Melbourne, Australia",858 reviews,8.4,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Vegan, Gluten-free",single bed,double bed,Small Queen Room,"₹ 9,590"
Bright Urban Oasis,yes,"18 Hoff Boulevard, Southbank, 3006 Melbourne, Australia",9 reviews,8.6,4.5 out of 5,Fabulous,no,no,no,NA,yes,yes,NA,single bed,double bed,One-Bedroom Apartment,"₹ 8,551"
Brady Hotels Central Melbourne,yes,"30 Little Latrobe Street, 3000 Melbourne, Australia","2,201 reviews",8.4,5 out of 5,Very good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Brady Queen Room,"₹ 10,662"
Hilton Melbourne Little Queen Street,no,"18 Little Queen Street, Victoria 3000 Melbourne, Australia",924 reviews,8.6,4 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Vegan, Gluten-free, Asian, American, Buffet",single bed,double bed,King Guest Room,"₹ 14,734"
Spencer Street Apartments,yes,"392 Spencer Street, West Melbourne, 3003 Melbourne, Australia","1,265 reviews",8.5,4 out of 5,Very good,yes,yes,no,NA,yes,yes,NA,NA,double bed,Executive One-Bedroom Apartment with Balcony,"₹ 15,459"
Hotel Collins,yes,"182 Collins Street, 3000 Melbourne, Australia","2,513 reviews",8.1,4 out of 5,Very good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Studio Apartment,"₹ 10,078"
Flinders Landing Apartments,yes,"161 Flinders Lane, 3000 Melbourne, Australia","2,476 reviews",7.9,3 out of 5,Good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,One-Bedroom Basement Apartment,"₹ 14,466"
Melbourne 2 bedrooms unit for hire,no,"1710/39 Lonsdale Street, 3000 Melbourne, Australia",NA,NA,4 out of 5,Superb 9.2,no,no,no,NA,no,no,NA,single bed,double bed,Two-Bedroom Apartment,"₹ 6,268"
Brady Hotels Jones Lane,yes,"111 Little Lonsdale Street, 3000 Melbourne, Australia","2,714 reviews",8.6,5 out of 5,Fabulous,yes,yes,no,NA,yes,yes,NA,single bed,double bed,King Room,"₹ 12,269"
