Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
APA Hotel Asakusabashi Ekimae,yes,"111-0053 Tokyo-to, Taito-ku Asakusabashi 1-27-9, Japan",435 reviews,8.3,3 out of 5,Very good,no,yes,no,NA,yes,yes,American,single bed,double bed,Standard Double Room for 2 people - Smoking,"₹ 5,125"
Best Western Hotel Fino Tokyo Akasaka,yes,"107-0052 Tokyo-to, Minato-ku, Akasaka 3-7-12, Japan","2,321 reviews",8.2,3 out of 5,Very good,no,yes,no,NA,yes,yes,NA,single bed,double bed,Standard Double Room,"₹ 10,719"
HOTEL BAMBOO GARDEN Kinshicho Adult Only,yes,"130-0022 Tokyo-to, Kotobashi 4-14-1, Japan",168 reviews,8.7,3 out of 5,Fabulous,yes,yes,no,NA,yes,yes,American,single bed,double bed,Superior Double Room,"₹ 12,841"
HOTEL APERTO (Adult Only),yes,"170-0004 Tokyo-to, Toshima-ku Kitaotsuka 1-16-7, Japan",532 reviews,8.6,3 out of 5,Fabulous,no,no,no,NA,yes,yes,American,NA,double bed,Check-in after 9pm - Standard Double Room,"₹ 7,258"
ICI HOTEL Ueno Shin Okachimachi,yes,"110-0016 Tokyo-to, Taito-ku Taito 4-23-11, Japan",895 reviews,8.4,3 out of 5,Very good,no,yes,no,NA,yes,yes,"Vegetarian, Vegan, Halal",single bed,double bed,Standard Double Room - Non-Smoking,"₹ 10,192"
Chisun Inn Kamata,yes,"144-0052 Tokyo-to, Ota-ku Kamata 4-23-13 , Japan","1,437 reviews",7.1,3 out of 5,Good,no,yes,no,NA,yes,yes,NA,single bed,double bed,Standard Double Room - Non-Smoking,"₹ 4,243"
FL Hotel Asakusa,yes,"111-0036 Tokyo-to, 台東区松が谷２丁目３０番１号 ＦＬホテル浅草, Japan",136 reviews,8.0,2 out of 5,Very good,no,yes,no,NA,yes,yes,NA,single bed,double bed,Double Room,"₹ 7,462"
APA Hotel & Resort Ryogoku Eki Tower,yes,"130-0015 Tokyo-to, Sumida-ku Yokoami 1-11-10, Japan","4,632 reviews",8.3,3 out of 5,Very good,no,yes,yes,NA,yes,yes,NA,single bed,double bed,Double Room-Non-Smoking,"₹ 6,331"
The Prince Park Tower Tokyo,yes,"105-8563 Tokyo-to, Minato-ku, Shiba Koen 4-8-1 , Japan","1,531 reviews",8.9,5 out of 5,Fabulous,no,yes,yes,Bar,yes,yes,American,single bed,double bed,Standard Twin Room - Non-Smoking,"₹ 33,184"
Villa Fontaine Grand Haneda Airport,yes,"144-0041 Tokyo-to, Ota-ku Haneda Airport 2-7-1, Japan","3,506 reviews",8.3,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Vegetarian, Asian, American",single bed,double bed,Superior Queen Room - Non-Smoking,"₹ 13,978"
Hotel JAL City Haneda Tokyo West Wing,yes,"144-0042 Tokyo-to, Asahi-cho 4-16, Haneda , Japan","1,844 reviews",8.4,4 out of 5,Very good,no,yes,no,NA,yes,yes,Buffet,single bed,double bed,Economy Double Room,"₹ 11,456"
Shinjuku Granbell Hotel,yes,"160-0021 Tokyo-to, Shinjuku-ku Kabukicho 2-14-5, Japan","2,497 reviews",7.9,4 out of 5,Good,no,yes,no,Bar,yes,yes,NA,single bed,double bed,Economy Double Room - Non-Smoking,"₹ 14,622"
APA Hotel Shinjuku-Kabukicho Tower,yes,"160-0021 Tokyo-to, Shinjuku-ku, Kabukicho 1-20-2, Japan","3,216 reviews",7.6,3 out of 5,Good,no,yes,no,NA,yes,yes,American,single bed,double bed,Double Room - Non-Smoking,"₹ 10,607"
Hotel Tokyo Trip Ueno Nishi Nippori,yes,"116-0013 Tokyo-to, Arakawa-ku, Nishinippori 5-18-14, Japan","1,544 reviews",8.1,3 out of 5,Very good,yes,yes,no,NA,no,yes,NA,single bed,double bed,Standard Semi-Double Room Non-Smoking,"₹ 8,374"
Toyoko Inn Tokyo Monzen-nakacho Eitaibashi,yes,"135-0034 Tokyo-to, Koto-ku Eitai 1-15-3, Japan","1,257 reviews",7.7,3 out of 5,Good,no,yes,no,NA,yes,yes,Asian,single bed,double bed,Economy Double Room - Smoking,"₹ 5,745"
The Royal Park Hotel Iconic Tokyo Shiodome,no,"105-8333 Tokyo-to, Minato-ku, Higashishimbashi 1-6-3, Japan","5,050 reviews",8.7,4 out of 5,Fabulous,no,yes,yes,Bar,no,yes,NA,single bed,double bed,Economy Double Room,"₹ 22,890"
Sotetsu Fresa Inn Tokyo Roppongi,yes,"106-0032 Tokyo-to, Minato-ku, Roppongi 3-10-1, Japan","2,431 reviews",8.1,3 out of 5,Very good,no,yes,no,NA,yes,yes,Continental,single bed,double bed,Double Room - Non-Smoking,"₹ 10,440"
hotel MONday Asakusa,yes,"111-0032 Tokyo-to, Taito-ku Asakusa 2-26-7, Japan","1,414 reviews",8.5,3 out of 5,Very good,yes,yes,no,NA,yes,yes,Buffet,single bed,double bed,Standard Twin Room,"₹ 8,422"
Tokyo Guest House Ouji Music Lounge,yes,"114-0023 Tokyo-to, Kita-ku Takinogawa 2-4-17, Japan","1,186 reviews",7.8,2 out of 5,Good,yes,yes,no,Bar,yes,yes,"Vegetarian, Vegan, American",single bed,double bed,Double Room with Shared Bathroom,"₹ 4,522"
Toyoko Inn Omori,yes,"143-0016 Tokyo-to, Ota-ku Omori -kita 1-23-8 , Japan",454 reviews,7.6,3 out of 5,Good,no,yes,no,NA,yes,yes,Buffet,single bed,double bed,Economy Double Room - Non-Smoking,"₹ 6,155"
Dormy Inn EXPRESS Asakusa,no,"111-0033 Tokyo-to, Taito-ku, Hanakawado 1-3-4, Japan",405 reviews,8.0,3 out of 5,Very good,no,yes,no,NA,no,yes,Buffet,single bed,double bed,Residential Economy Double Room on Station Side - Non- Smoking,"₹ 8,945"
Tmark City Hotel Tokyo Omori,yes,"143-0011 Tokyo-to, Ota-ku Omorihoncho 1-2-10, Japan",921 reviews,8.4,4 out of 5,Very good,no,yes,no,NA,yes,yes,NA,single bed,double bed,Double Room - Non-Smoking,"₹ 6,876"
Toyoko Inn Tokyo Akabane-eki Higashi-guchi,yes,"115-0045 Tokyo-to, Kita-ku Akabane 1-11-11, Japan","1,144 reviews",7.9,3 out of 5,Good,no,yes,no,NA,yes,no,Asian,single bed,double bed,Economy Double Room - Non-Smoking,"₹ 5,686"
Chang Tee Hotel Ikebukuro,yes,"171-0014 Tokyo-to, Toshima-ku, Ikebukuro 2-32-4, Japan",90 reviews,7.5,2 out of 5,Good,no,yes,no,NA,yes,yes,NA,single bed,double bed,Japanese-Style Twin Room - Non-Smoking,"₹ 4,745"
